Customer_ID,Segment,City,State,Country,Zipcode
1,Consumer,Brownsville,TX,EE. UU.,78521.0
2,Consumer,Littleton,CO,EE. UU.,80126.0
3,Consumer,Caguas,PR,Puerto Rico,725.0
4,Consumer,San Marcos,CA,EE. UU.,92069.0
5,Home Office,Caguas,PR,Puerto Rico,725.0
6,Consumer,Passaic,NJ,EE. UU.,7055.0
7,Corporate,Caguas,PR,Puerto Rico,725.0
8,Corporate,Lawrence,MA,EE. UU.,1841.0
9,Consumer,Caguas,PR,Puerto Rico,725.0
10,Corporate,Stafford,VA,EE. UU.,22554.0
11,Consumer,Caguas,PR,Puerto Rico,725.0
12,Corporate,San Antonio,TX,EE. UU.,78227.0
13,Home Office,Caguas,PR,Puerto Rico,725.0
14,Corporate,Pico Rivera,CA,EE. UU.,90660.0
15,Corporate,Fontana,CA,EE. UU.,92336.0
16,Corporate,Caguas,PR,Puerto Rico,725.0
17,Consumer,Taylor,MI,EE. UU.,48180.0
18,Consumer,Martinez,CA,EE. UU.,94553.0
19,Home Office,Caguas,PR,Puerto Rico,725.0
20,Consumer,West New York,NJ,EE. UU.,7093.0
21,Consumer,Caguas,PR,Puerto Rico,725.0
22,Corporate,North Bergen,NJ,EE. UU.,7047.0
23,Corporate,San Juan,PR,Puerto Rico,921.0
24,Home Office,Caguas,PR,Puerto Rico,725.0
25,Home Office,Peoria,AZ,EE. UU.,85345.0
26,Consumer,Glenview,IL,EE. UU.,60025.0
27,Consumer,Caguas,PR,Puerto Rico,725.0
28,Consumer,Longview,WA,EE. UU.,98632.0
29,Consumer,Fort Worth,TX,EE. UU.,76133.0
30,Home Office,Caguas,PR,Puerto Rico,725.0
31,Consumer,Albuquerque,NM,EE. UU.,87111.0
32,Corporate,Caguas,PR,Puerto Rico,725.0
33,Consumer,Norfolk,VA,EE. UU.,23503.0
34,Corporate,Caguas,PR,Puerto Rico,725.0
35,Consumer,Oceanside,CA,EE. UU.,92056.0
36,Corporate,Caguas,PR,Puerto Rico,725.0
37,Consumer,Norfolk,VA,EE. UU.,23503.0
38,Consumer,Opelousas,LA,EE. UU.,70570.0
39,Consumer,Caguas,PR,Puerto Rico,725.0
40,Consumer,Long Beach,CA,EE. UU.,90805.0
41,Consumer,Brooklyn,NY,EE. UU.,11230.0
42,Consumer,Duluth,GA,EE. UU.,30096.0
43,Corporate,Caguas,PR,Puerto Rico,725.0
44,Corporate,Napa,CA,EE. UU.,94558.0
45,Consumer,Denver,CO,EE. UU.,80231.0
46,Consumer,Freeport,NY,EE. UU.,11520.0
47,Home Office,Caguas,PR,Puerto Rico,725.0
48,Consumer,Strongsville,OH,EE. UU.,44136.0
49,Consumer,Caguas,PR,Puerto Rico,725.0
50,Consumer,San Bernardino,CA,EE. UU.,92410.0
51,Home Office,Caguas,PR,Puerto Rico,725.0
52,Corporate,Chicago,IL,EE. UU.,60622.0
53,Corporate,Roswell,GA,EE. UU.,30075.0
54,Home Office,Caguas,PR,Puerto Rico,725.0
55,Home Office,Phoenix,AZ,EE. UU.,85029.0
56,Consumer,Caguas,PR,Puerto Rico,725.0
57,Consumer,Baltimore,MD,EE. UU.,21229.0
58,Consumer,Caguas,PR,Puerto Rico,725.0
59,Consumer,Sunnyvale,CA,EE. UU.,94086.0
60,Home Office,Webster,NY,EE. UU.,14580.0
61,Home Office,Caguas,PR,Puerto Rico,725.0
62,Consumer,Brooklyn,NY,EE. UU.,11223.0
63,Home Office,Caguas,PR,Puerto Rico,725.0
64,Corporate,Chicago,IL,EE. UU.,60647.0
65,Consumer,Princeton,NJ,EE. UU.,8540.0
66,Home Office,Caguas,PR,Puerto Rico,725.0
67,Corporate,Chicago,IL,EE. UU.,60619.0
68,Consumer,Peoria,AZ,EE. UU.,85345.0
69,Consumer,Caguas,PR,Puerto Rico,725.0
70,Corporate,Los Angeles,CA,EE. UU.,90042.0
71,Corporate,Philadelphia,PA,EE. UU.,19145.0
72,Consumer,Vista,CA,EE. UU.,92084.0
73,Home Office,Caguas,PR,Puerto Rico,725.0
74,Corporate,Jacksonville,NC,EE. UU.,28540.0
75,Consumer,Caguas,PR,Puerto Rico,725.0
76,Consumer,Los Angeles,CA,EE. UU.,90016.0
77,Corporate,Caguas,PR,Puerto Rico,725.0
78,Home Office,Parkville,MD,EE. UU.,21234.0
79,Consumer,Knoxville,TN,EE. UU.,37922.0
80,Corporate,Caguas,PR,Puerto Rico,725.0
81,Home Office,Ithaca,NY,EE. UU.,14850.0
82,Consumer,San Antonio,TX,EE. UU.,78240.0
83,Corporate,Caguas,PR,Puerto Rico,725.0
84,Consumer,Tampa,FL,EE. UU.,33624.0
85,Consumer,Caguas,PR,Puerto Rico,725.0
86,Corporate,Fort Worth,TX,EE. UU.,76106.0
87,Corporate,Caguas,PR,Puerto Rico,725.0
88,Corporate,Atlanta,GA,EE. UU.,30318.0
89,Consumer,Escondido,CA,EE. UU.,92027.0
90,Consumer,Caguas,PR,Puerto Rico,725.0
91,Consumer,Spring,TX,EE. UU.,77379.0
92,Home Office,Caguas,PR,Puerto Rico,725.0
93,Corporate,Annapolis,MD,EE. UU.,21401.0
94,Corporate,Caguas,PR,Puerto Rico,725.0
95,Corporate,Hyattsville,MD,EE. UU.,20783.0
96,Home Office,Caguas,PR,Puerto Rico,725.0
97,Corporate,Phoenix,AZ,EE. UU.,85008.0
98,Consumer,Caguas,PR,Puerto Rico,725.0
99,Consumer,Las Vegas,NV,EE. UU.,89123.0
100,Consumer,Caguas,PR,Puerto Rico,725.0
101,Corporate,Dorchester Center,MA,EE. UU.,2124.0
102,Corporate,Caguas,PR,Puerto Rico,725.0
103,Corporate,Broomfield,CO,EE. UU.,80020.0
104,Home Office,Saint Paul,MN,EE. UU.,55112.0
105,Consumer,Caguas,PR,Puerto Rico,725.0
106,Corporate,Napa,CA,EE. UU.,94558.0
107,Consumer,Caguas,PR,Puerto Rico,725.0
108,Consumer,Bronx,NY,EE. UU.,10462.0
109,Corporate,Caguas,PR,Puerto Rico,725.0
110,Corporate,Beaverton,OR,EE. UU.,97006.0
111,Corporate,Caguas,PR,Puerto Rico,725.0
112,Consumer,Middletown,OH,EE. UU.,45044.0
113,Consumer,Caguas,PR,Puerto Rico,725.0
114,Home Office,Bellflower,CA,EE. UU.,90706.0
115,Consumer,West Covina,CA,EE. UU.,91790.0
