Order_Item_ID,Order_ID,Shipping_Mode_ID,Order_Date,Shipping_Date,Days_Shipping_Actual,Days_Shipping_Scheduled,Delivery_Status,Late_Delivery_Risk,Shipping_Delay_Days
180517,77202,SHP-4,2018-01-31,2018-02-03,3,4,Advance shipping,0,-1
179254,75939,SHP-4,2018-01-13,2018-01-18,5,4,Late delivery,1,1
179253,75938,SHP-4,2018-01-13,2018-01-17,4,4,Shipping on time,0,0
179252,75937,SHP-4,2018-01-13,2018-01-16,3,4,Advance shipping,0,-1
179251,75936,SHP-4,2018-01-13,2018-01-15,2,4,Advance shipping,0,-2
179250,75935,SHP-4,2018-01-13,2018-01-19,6,4,Shipping canceled,0,2
179249,75934,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179248,75933,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179247,75932,SHP-3,2018-01-13,2018-01-16,3,2,Late delivery,1,1
179246,75931,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179245,75930,SHP-3,2018-01-13,2018-01-19,6,2,Shipping canceled,0,4
179244,75929,SHP-3,2018-01-13,2018-01-18,5,2,Late delivery,1,3
179243,75928,SHP-3,2018-01-13,2018-01-17,4,2,Late delivery,1,2
179242,75927,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179241,75926,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179240,75925,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179239,75924,SHP-3,2018-01-13,2018-01-18,5,2,Late delivery,1,3
179238,75923,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179237,75922,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179236,75921,SHP-2,2018-01-13,2018-01-13,0,0,Shipping on time,0,0
179235,75920,SHP-2,2018-01-13,2018-01-13,0,0,Shipping on time,0,0
179234,75919,SHP-4,2018-01-13,2018-01-18,5,4,Late delivery,1,1
179233,75918,SHP-3,2018-01-13,2018-01-17,4,2,Late delivery,1,2
179232,75917,SHP-3,2018-01-13,2018-01-16,3,2,Shipping canceled,0,1
179231,75916,SHP-3,2018-01-13,2018-01-15,2,2,Shipping canceled,0,0
179230,75915,SHP-3,2018-01-13,2018-01-19,6,2,Late delivery,1,4
179229,75914,SHP-3,2018-01-13,2018-01-18,5,2,Late delivery,1,3
179228,75913,SHP-4,2018-01-13,2018-01-17,4,4,Shipping on time,0,0
179227,75912,SHP-4,2018-01-13,2018-01-16,3,4,Advance shipping,0,-1
179226,75911,SHP-4,2018-01-13,2018-01-15,2,4,Advance shipping,0,-2
179225,75910,SHP-4,2018-01-13,2018-01-19,6,4,Late delivery,1,2
179224,75909,SHP-4,2018-01-13,2018-01-18,5,4,Late delivery,1,1
179223,75908,SHP-4,2018-01-13,2018-01-17,4,4,Shipping on time,0,0
179222,75907,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179221,75906,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179220,75905,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179219,75904,SHP-1,2018-01-13,2018-01-15,2,1,Late delivery,1,1
179218,75903,SHP-1,2018-01-12,2018-01-14,2,1,Late delivery,1,1
179217,75902,SHP-2,2018-01-12,2018-01-13,1,0,Late delivery,1,1
179216,75901,SHP-2,2018-01-12,2018-01-13,1,0,Shipping canceled,0,1
179215,75900,SHP-2,2018-01-12,2018-01-13,1,0,Late delivery,1,1
179214,75899,SHP-2,2018-01-12,2018-01-13,1,0,Late delivery,1,1
179213,75898,SHP-4,2018-01-12,2018-01-16,4,4,Shipping on time,0,0
179212,75897,SHP-4,2018-01-12,2018-01-15,3,4,Advance shipping,0,-1
179211,75896,SHP-4,2018-01-12,2018-01-14,2,4,Advance shipping,0,-2
179210,75895,SHP-4,2018-01-12,2018-01-18,6,4,Late delivery,1,2
179209,75894,SHP-3,2018-01-12,2018-01-17,5,2,Late delivery,1,3
179208,75893,SHP-4,2018-01-12,2018-01-16,4,4,Shipping on time,0,0
71956,28744,SHP-3,2016-02-24,2016-02-29,5,2,Late delivery,1,3
113598,45461,SHP-3,2016-10-25,2016-10-27,2,2,Shipping on time,0,0
77757,31115,SHP-3,2016-03-30,2016-04-05,6,2,Late delivery,1,4
114401,45766,SHP-3,2016-10-30,2016-11-01,2,2,Shipping on time,0,0
119405,47752,SHP-3,2016-11-28,2016-12-01,3,2,Late delivery,1,1
125135,50054,SHP-3,2016-12-31,2017-01-05,5,2,Late delivery,1,3
50842,20365,SHP-3,2015-10-25,2015-10-31,6,2,Late delivery,1,4
90273,36146,SHP-3,2016-06-11,2016-06-13,2,2,Shipping on time,0,0
102921,41234,SHP-3,2016-08-24,2016-08-29,5,2,Late delivery,1,3
80250,32090,SHP-3,2016-04-13,2016-04-19,6,2,Late delivery,1,4
86866,34773,SHP-3,2016-05-22,2016-05-26,4,2,Late delivery,1,2
110025,44046,SHP-3,2016-10-04,2016-10-06,2,2,Shipping on time,0,0
116033,46414,SHP-3,2016-11-08,2016-11-13,5,2,Late delivery,1,3
116462,46599,SHP-3,2016-11-11,2016-11-16,5,2,Late delivery,1,3
121134,48434,SHP-3,2016-12-08,2016-12-13,5,2,Late delivery,1,3
32072,12827,SHP-3,2015-07-07,2015-07-10,3,2,Late delivery,1,1
159828,63936,SHP-3,2017-07-22,2017-07-24,2,2,Shipping on time,0,0
162548,65030,SHP-3,2017-08-07,2017-08-13,6,2,Late delivery,1,4
45253,18108,SHP-3,2015-09-22,2015-09-26,4,2,Late delivery,1,2
156394,62571,SHP-3,2017-07-02,2017-07-04,2,2,Shipping on time,0,0
42919,17162,SHP-3,2015-09-08,2015-09-11,3,2,Late delivery,1,1
164735,65922,SHP-3,2017-08-20,2017-08-23,3,2,Late delivery,1,1
159829,63936,SHP-3,2017-07-22,2017-07-24,2,2,Shipping on time,0,0
162007,64813,SHP-3,2017-08-04,2017-08-08,4,2,Late delivery,1,2
169747,67892,SHP-3,2017-09-18,2017-09-21,3,2,Late delivery,1,1
31344,12525,SHP-3,2015-07-02,2015-07-08,6,2,Late delivery,1,4
14664,5895,SHP-3,2015-03-28,2015-04-03,6,2,Late delivery,1,4
140970,56359,SHP-3,2017-04-02,2017-04-07,5,2,Late delivery,1,3
146701,58613,SHP-3,2017-05-05,2017-05-09,4,2,Late delivery,1,2
19564,7824,SHP-3,2015-04-25,2015-04-30,5,2,Late delivery,1,3
19544,7814,SHP-3,2015-04-25,2015-04-30,5,2,Late delivery,1,3
19542,7814,SHP-3,2015-04-25,2015-04-30,5,2,Late delivery,1,3
152161,60807,SHP-3,2017-06-06,2017-06-09,3,2,Late delivery,1,1
133456,53413,SHP-3,2017-02-18,2017-02-22,4,2,Late delivery,1,2
19707,7888,SHP-3,2015-04-26,2015-04-30,4,2,Late delivery,1,2
16956,6783,SHP-3,2015-04-10,2015-04-14,4,2,Late delivery,1,2
142502,56973,SHP-3,2017-04-11,2017-04-15,4,2,Late delivery,1,2
19563,7824,SHP-3,2015-04-25,2015-04-30,5,2,Late delivery,1,3
137932,55155,SHP-3,2017-03-16,2017-03-22,6,2,Late delivery,1,4
14921,5991,SHP-3,2015-03-29,2015-03-31,2,2,Shipping on time,0,0
5671,2263,SHP-3,2015-02-03,2015-02-07,4,2,Late delivery,1,2
5669,2263,SHP-3,2015-02-03,2015-02-07,4,2,Late delivery,1,2
133427,53403,SHP-3,2017-02-18,2017-02-22,4,2,Late delivery,1,2
128201,51298,SHP-3,2017-01-18,2017-01-22,4,2,Late delivery,1,2
12307,4919,SHP-4,2015-03-13,2015-03-18,5,4,Late delivery,1,1
131580,52640,SHP-4,2017-02-07,2017-02-13,6,4,Late delivery,1,2
15921,6358,SHP-4,2015-04-03,2015-04-07,4,4,Shipping on time,0,0
142841,57106,SHP-4,2017-04-13,2017-04-15,2,4,Advance shipping,0,-2
15634,6245,SHP-4,2015-04-02,2015-04-08,6,4,Late delivery,1,2
130341,52166,SHP-4,2017-01-31,2017-02-02,2,4,Advance shipping,0,-2
140494,56172,SHP-4,2017-03-30,2017-04-02,3,4,Advance shipping,0,-1
139611,55829,SHP-4,2017-03-25,2017-03-30,5,4,Late delivery,1,1
131161,52478,SHP-4,2017-02-05,2017-02-09,4,4,Shipping on time,0,0
143183,57242,SHP-4,2017-04-15,2017-04-18,3,4,Advance shipping,0,-1
7805,3137,SHP-4,2015-02-15,2015-02-18,3,4,Advance shipping,0,-1
150464,60127,SHP-4,2017-05-27,2017-05-30,3,4,Advance shipping,0,-1
9521,3828,SHP-4,2015-02-25,2015-03-01,4,4,Shipping on time,0,0
151122,60386,SHP-4,2017-05-31,2017-06-02,2,4,Advance shipping,0,-2
2420,973,SHP-4,2015-01-15,2015-01-19,4,4,Shipping on time,0,0
145119,57999,SHP-4,2017-04-26,2017-05-01,5,4,Late delivery,1,1
136527,54585,SHP-4,2017-03-07,2017-03-13,6,4,Late delivery,1,2
144075,57598,SHP-4,2017-04-20,2017-04-24,4,4,Shipping on time,0,0
135699,54274,SHP-4,2017-03-03,2017-03-08,5,4,Late delivery,1,1
151869,60673,SHP-4,2017-06-04,2017-06-08,4,4,Shipping on time,0,0
148673,59387,SHP-4,2017-05-16,2017-05-19,3,4,Advance shipping,0,-1
131577,52640,SHP-4,2017-02-07,2017-02-13,6,4,Late delivery,1,2
24992,10007,SHP-4,2015-05-27,2015-05-30,3,4,Advance shipping,0,-1
139976,55984,SHP-4,2017-03-28,2017-04-02,5,4,Late delivery,1,1
131164,52478,SHP-4,2017-02-05,2017-02-09,4,4,Shipping on time,0,0
146090,58375,SHP-4,2017-05-02,2017-05-08,6,4,Late delivery,1,2
141192,56448,SHP-4,2017-04-03,2017-04-07,4,4,Shipping on time,0,0
20537,8221,SHP-4,2015-04-30,2015-05-02,2,4,Advance shipping,0,-2
145203,58034,SHP-4,2017-04-27,2017-05-02,5,4,Late delivery,1,1
5525,2203,SHP-4,2015-02-02,2015-02-06,4,4,Shipping on time,0,0
132642,53069,SHP-4,2017-02-13,2017-02-18,5,4,Late delivery,1,1
150522,60146,SHP-4,2017-05-27,2017-05-29,2,4,Advance shipping,0,-2
138585,55409,SHP-4,2017-03-19,2017-03-24,5,4,Late delivery,1,1
21674,8678,SHP-4,2015-05-07,2015-05-11,4,4,Shipping on time,0,0
19945,7980,SHP-4,2015-04-27,2015-05-03,6,4,Late delivery,1,2
143043,57185,SHP-4,2017-04-14,2017-04-20,6,4,Late delivery,1,2
21551,8636,SHP-4,2015-05-07,2015-05-09,2,4,Advance shipping,0,-2
153077,61192,SHP-4,2017-06-12,2017-06-15,3,4,Advance shipping,0,-1
139714,55876,SHP-4,2017-03-26,2017-03-28,2,4,Advance shipping,0,-2
133251,53331,SHP-4,2017-02-17,2017-02-19,2,4,Advance shipping,0,-2
129241,51725,SHP-4,2017-01-25,2017-01-31,6,4,Late delivery,1,2
131382,52562,SHP-4,2017-02-06,2017-02-09,3,4,Advance shipping,0,-1
149532,59754,SHP-4,2017-05-22,2017-05-27,5,4,Late delivery,1,1
133893,53574,SHP-4,2017-02-21,2017-02-26,5,4,Late delivery,1,1
989,399,SHP-4,2015-01-06,2015-01-11,5,4,Late delivery,1,1
127587,51050,SHP-3,2017-01-15,2017-01-21,6,2,Late delivery,1,4
114171,45680,SHP-3,2016-10-28,2016-11-03,6,2,Late delivery,1,4
107395,42992,SHP-3,2016-09-19,2016-09-22,3,2,Late delivery,1,1
103114,41304,SHP-3,2016-08-25,2016-08-30,5,2,Late delivery,1,3
114173,45680,SHP-3,2016-10-28,2016-11-03,6,2,Late delivery,1,4
110494,44253,SHP-3,2016-10-07,2016-10-11,4,2,Late delivery,1,2
115235,46098,SHP-3,2016-11-03,2016-11-07,4,2,Late delivery,1,2
103115,41304,SHP-3,2016-08-25,2016-08-30,5,2,Late delivery,1,3
174392,71077,SHP-3,2017-11-03,2017-11-06,3,2,Late delivery,1,1
173018,69703,SHP-3,2017-10-14,2017-10-18,4,2,Late delivery,1,2
174427,71112,SHP-3,2017-11-04,2017-11-07,3,2,Late delivery,1,1
173125,69810,SHP-3,2017-10-16,2017-10-22,6,2,Late delivery,1,4
174407,71092,SHP-3,2017-11-03,2017-11-06,3,2,Late delivery,1,1
172925,69610,SHP-3,2017-10-13,2017-10-19,6,2,Late delivery,1,4
174315,71000,SHP-3,2017-11-02,2017-11-08,6,2,Late delivery,1,4
174049,70734,SHP-3,2017-10-29,2017-11-03,5,2,Late delivery,1,3
172941,69626,SHP-3,2017-10-13,2017-10-15,2,2,Shipping on time,0,0
172797,69482,SHP-3,2017-10-11,2017-10-14,3,2,Late delivery,1,1
174084,70769,SHP-3,2017-10-30,2017-11-04,5,2,Late delivery,1,3
172958,69643,SHP-3,2017-10-13,2017-10-17,4,2,Late delivery,1,2
174366,71051,SHP-3,2017-11-03,2017-11-05,2,2,Shipping on time,0,0
172723,69408,SHP-3,2017-10-10,2017-10-14,4,2,Late delivery,1,2
174438,71123,SHP-3,2017-11-04,2017-11-08,4,2,Late delivery,1,2
173849,70534,SHP-3,2017-10-26,2017-10-31,5,2,Late delivery,1,3
172956,69641,SHP-3,2017-10-13,2017-10-15,2,2,Shipping on time,0,0
174275,70960,SHP-3,2017-11-01,2017-11-07,6,2,Late delivery,1,4
173223,69908,SHP-3,2017-10-17,2017-10-21,4,2,Late delivery,1,2
174272,70957,SHP-3,2017-11-01,2017-11-04,3,2,Late delivery,1,1
172952,69637,SHP-3,2017-10-13,2017-10-16,3,2,Late delivery,1,1
174270,70955,SHP-3,2017-11-01,2017-11-07,6,2,Late delivery,1,4
174234,70919,SHP-3,2017-11-01,2017-11-06,5,2,Late delivery,1,3
174324,71009,SHP-3,2017-11-02,2017-11-07,5,2,Late delivery,1,3
172968,69653,SHP-3,2017-10-13,2017-10-17,4,2,Late delivery,1,2
172842,69527,SHP-3,2017-10-11,2017-10-14,3,2,Late delivery,1,1
174395,71080,SHP-3,2017-11-03,2017-11-09,6,2,Late delivery,1,4
173859,70544,SHP-3,2017-10-26,2017-10-31,5,2,Late delivery,1,3
172786,69471,SHP-3,2017-10-11,2017-10-13,2,2,Shipping on time,0,0
172188,68879,SHP-3,2017-10-02,2017-10-07,5,2,Late delivery,1,3
167987,67214,SHP-3,2017-09-08,2017-09-13,5,2,Late delivery,1,3
44493,17810,SHP-3,2015-09-17,2015-09-23,6,2,Late delivery,1,4
46997,18793,SHP-3,2015-10-02,2015-10-06,4,2,Late delivery,1,2
162715,65109,SHP-3,2017-08-08,2017-08-13,5,2,Late delivery,1,3
39186,15673,SHP-3,2015-08-17,2015-08-21,4,2,Late delivery,1,2
45455,18183,SHP-3,2015-09-23,2015-09-27,4,2,Late delivery,1,2
50536,20234,SHP-3,2015-10-23,2015-10-28,5,2,Late delivery,1,3
32867,13139,SHP-3,2015-07-11,2015-07-16,5,2,Late delivery,1,3
84424,33824,SHP-4,2016-05-08,2016-05-13,5,4,Shipping canceled,0,1
78398,31364,SHP-4,2016-04-02,2016-04-07,5,4,Shipping canceled,0,1
101052,40495,SHP-4,2016-08-14,2016-08-20,6,4,Shipping canceled,0,2
78396,31364,SHP-4,2016-04-02,2016-04-07,5,4,Shipping canceled,0,1
86191,34506,SHP-4,2016-05-18,2016-05-20,2,4,Shipping canceled,0,-2
83892,33607,SHP-4,2016-05-05,2016-05-08,3,4,Shipping canceled,0,-1
81596,32617,SHP-4,2016-04-21,2016-04-24,3,4,Shipping canceled,0,-1
93579,37496,SHP-4,2016-07-01,2016-07-03,2,4,Shipping canceled,0,-2
81595,32617,SHP-4,2016-04-21,2016-04-24,3,4,Shipping canceled,0,-1
122703,49075,SHP-4,2016-12-17,2016-12-23,6,4,Shipping canceled,0,2
84425,33824,SHP-4,2016-05-08,2016-05-13,5,4,Shipping canceled,0,1
122700,49075,SHP-4,2016-12-17,2016-12-23,6,4,Shipping canceled,0,2
103905,41623,SHP-4,2016-08-30,2016-09-03,4,4,Shipping canceled,0,0
98043,39271,SHP-4,2016-07-27,2016-07-29,2,4,Shipping canceled,0,-2
96337,38598,SHP-4,2016-07-17,2016-07-21,4,4,Shipping canceled,0,0
94445,37845,SHP-4,2016-07-06,2016-07-12,6,4,Shipping canceled,0,2
105703,42331,SHP-4,2016-09-09,2016-09-11,2,4,Shipping canceled,0,-2
103211,41345,SHP-4,2016-08-26,2016-09-01,6,4,Shipping canceled,0,2
127882,51168,SHP-4,2017-01-16,2017-01-20,4,4,Shipping canceled,0,0
127881,51168,SHP-4,2017-01-16,2017-01-20,4,4,Shipping canceled,0,0
108885,43599,SHP-4,2016-09-28,2016-10-03,5,4,Shipping canceled,0,1
104591,41901,SHP-4,2016-09-03,2016-09-05,2,4,Shipping canceled,0,-2
106706,42751,SHP-4,2016-09-16,2016-09-18,2,4,Advance shipping,0,-2
112591,45088,SHP-4,2016-10-20,2016-10-24,4,4,Shipping on time,0,0
126156,50489,SHP-4,2017-01-07,2017-01-12,5,4,Late delivery,1,1
110862,44409,SHP-4,2016-10-10,2016-10-15,5,4,Late delivery,1,1
105115,42101,SHP-4,2016-09-06,2016-09-08,2,4,Advance shipping,0,-2
125992,50424,SHP-4,2017-01-06,2017-01-11,5,4,Late delivery,1,1
124562,49825,SHP-4,2016-12-28,2017-01-03,6,4,Late delivery,1,2
103083,41294,SHP-4,2016-08-25,2016-08-30,5,4,Late delivery,1,1
104898,42023,SHP-4,2016-09-05,2016-09-09,4,4,Shipping on time,0,0
119464,47774,SHP-4,2016-11-28,2016-12-03,5,4,Late delivery,1,1
104416,41827,SHP-4,2016-09-02,2016-09-05,3,4,Advance shipping,0,-1
117955,47193,SHP-4,2016-11-19,2016-11-23,4,4,Shipping on time,0,0
106390,42626,SHP-4,2016-09-14,2016-09-16,2,4,Advance shipping,0,-2
115493,46199,SHP-4,2016-11-05,2016-11-10,5,4,Late delivery,1,1
121217,48468,SHP-4,2016-12-08,2016-12-12,4,4,Shipping on time,0,0
127490,51009,SHP-4,2017-01-14,2017-01-19,5,4,Late delivery,1,1
115564,46229,SHP-4,2016-11-05,2016-11-10,5,4,Late delivery,1,1
107084,42882,SHP-4,2016-09-17,2016-09-20,3,4,Advance shipping,0,-1
117074,46827,SHP-4,2016-11-14,2016-11-17,3,4,Advance shipping,0,-1
121737,48684,SHP-4,2016-12-11,2016-12-16,5,4,Late delivery,1,1
121735,48684,SHP-4,2016-12-11,2016-12-16,5,4,Late delivery,1,1
116042,46416,SHP-4,2016-11-08,2016-11-10,2,4,Advance shipping,0,-2
118360,47343,SHP-4,2016-11-22,2016-11-26,4,4,Shipping on time,0,0
104060,41686,SHP-4,2016-08-31,2016-09-02,2,4,Advance shipping,0,-2
104577,41896,SHP-4,2016-09-03,2016-09-05,2,4,Advance shipping,0,-2
70443,28168,SHP-4,2016-02-16,2016-02-20,4,4,Shipping on time,0,0
62621,24992,SHP-4,2015-12-31,2016-01-03,3,4,Advance shipping,0,-1
77102,30851,SHP-4,2016-03-26,2016-03-28,2,4,Advance shipping,0,-2
62834,25074,SHP-4,2016-01-02,2016-01-07,5,4,Late delivery,1,1
180185,76870,SHP-4,2018-01-27,2018-02-02,6,4,Late delivery,1,2
63064,25163,SHP-4,2016-01-03,2016-01-07,4,4,Shipping on time,0,0
70143,28036,SHP-4,2016-02-14,2016-02-16,2,4,Advance shipping,0,-2
56759,22679,SHP-4,2015-11-28,2015-12-03,5,4,Late delivery,1,1
59059,23610,SHP-4,2015-12-11,2015-12-17,6,4,Late delivery,1,2
106946,42828,SHP-4,2016-09-17,2016-09-21,4,4,Shipping on time,0,0
104576,41896,SHP-4,2016-09-03,2016-09-05,2,4,Advance shipping,0,-2
121833,48713,SHP-4,2016-12-12,2016-12-16,4,4,Shipping on time,0,0
114148,45668,SHP-4,2016-10-28,2016-11-01,4,4,Shipping on time,0,0
178111,74796,SHP-4,2017-12-27,2017-12-29,2,4,Advance shipping,0,-2
69867,27918,SHP-4,2016-02-12,2016-02-16,4,4,Shipping on time,0,0
75233,30097,SHP-4,2016-03-15,2016-03-18,3,4,Advance shipping,0,-1
77398,30966,SHP-4,2016-03-28,2016-03-30,2,4,Advance shipping,0,-2
75154,30063,SHP-4,2016-03-14,2016-03-18,4,4,Shipping on time,0,0
55063,22019,SHP-4,2015-11-18,2015-11-23,5,4,Late delivery,1,1
60624,24230,SHP-4,2015-12-20,2015-12-26,6,4,Late delivery,1,2
121830,48713,SHP-4,2016-12-12,2016-12-16,4,4,Shipping on time,0,0
105750,42353,SHP-4,2016-09-10,2016-09-14,4,4,Shipping on time,0,0
114147,45668,SHP-4,2016-10-28,2016-11-01,4,4,Shipping on time,0,0
105206,42134,SHP-4,2016-09-07,2016-09-12,5,4,Late delivery,1,1
53808,21522,SHP-4,2015-11-11,2015-11-14,3,4,Advance shipping,0,-1
59474,23767,SHP-4,2015-12-13,2015-12-16,3,4,Advance shipping,0,-1
63711,25433,SHP-4,2016-01-07,2016-01-11,4,4,Shipping on time,0,0
177208,73893,SHP-4,2017-12-14,2017-12-18,4,4,Shipping on time,0,0
75205,30085,SHP-4,2016-03-15,2016-03-21,6,4,Late delivery,1,2
75410,30172,SHP-4,2016-03-16,2016-03-19,3,4,Advance shipping,0,-1
68790,27478,SHP-4,2016-02-06,2016-02-10,4,4,Shipping on time,0,0
180291,76976,SHP-4,2018-01-28,2018-01-30,2,4,Advance shipping,0,-2
60210,24063,SHP-4,2015-12-18,2015-12-22,4,4,Shipping on time,0,0
127964,51209,SHP-4,2017-01-17,2017-01-22,5,4,Late delivery,1,1
177154,73839,SHP-4,2017-12-13,2017-12-18,5,4,Late delivery,1,1
178038,74723,SHP-4,2017-12-26,2017-12-30,4,4,Shipping on time,0,0
67197,26821,SHP-4,2016-01-27,2016-01-29,2,4,Advance shipping,0,-2
180417,77102,SHP-4,2018-01-30,2018-02-02,3,4,Advance shipping,0,-1
103859,41608,SHP-4,2016-08-30,2016-09-03,4,4,Shipping on time,0,0
117478,47009,SHP-4,2016-11-17,2016-11-22,5,4,Late delivery,1,1
124787,49916,SHP-4,2016-12-29,2016-12-31,2,4,Advance shipping,0,-2
74420,29746,SHP-4,2016-03-10,2016-03-12,2,4,Advance shipping,0,-2
175848,72533,SHP-4,2017-11-24,2017-11-28,4,4,Shipping on time,0,0
121561,48608,SHP-4,2016-12-10,2016-12-14,4,4,Shipping on time,0,0
113719,45506,SHP-4,2016-10-26,2016-10-28,2,4,Advance shipping,0,-2
112427,45027,SHP-4,2016-10-19,2016-10-22,3,4,Advance shipping,0,-1
115752,46308,SHP-4,2016-11-06,2016-11-10,4,4,Shipping on time,0,0
109111,43685,SHP-4,2016-09-29,2016-10-05,6,4,Late delivery,1,2
104569,41893,SHP-4,2016-09-03,2016-09-07,4,4,Shipping on time,0,0
115856,46339,SHP-4,2016-11-07,2016-11-12,5,4,Late delivery,1,1
116672,46667,SHP-4,2016-11-12,2016-11-15,3,4,Advance shipping,0,-1
119125,47647,SHP-4,2016-11-26,2016-11-29,3,4,Advance shipping,0,-1
121445,48565,SHP-4,2016-12-09,2016-12-15,6,4,Late delivery,1,2
109614,43889,SHP-4,2016-10-02,2016-10-07,5,4,Late delivery,1,1
112738,45138,SHP-4,2016-10-20,2016-10-24,4,4,Shipping on time,0,0
110278,44160,SHP-4,2016-10-06,2016-10-12,6,4,Late delivery,1,2
123053,49214,SHP-4,2016-12-19,2016-12-24,5,4,Late delivery,1,1
104410,41825,SHP-4,2016-09-02,2016-09-08,6,4,Late delivery,1,2
111111,44504,SHP-4,2016-10-11,2016-10-16,5,4,Late delivery,1,1
111088,44496,SHP-4,2016-10-11,2016-10-13,2,4,Advance shipping,0,-2
113854,45559,SHP-4,2016-10-27,2016-11-01,5,4,Late delivery,1,1
